,created_at,sentiment,volumne,sentiment_1dlag,volumne_1dlag,sentiment_2dlag,volumne_2dlag,sentiment_3dlag,volumne_3dlag,open,high,low,close,adjclose,open_prevDay,high_prevDay,low_prevDay,close_prevDay,adjclose_prevDay
53,2014-08-02,0.25756,10,0.2943947368421053,19.0,0.4823166666666666,6.0,0.3438,20.0,,,,,,,,,,
54,2014-08-03,0.2885375,8,0.25756,10.0,0.2943947368421053,19.0,0.4823166666666666,6.0,,,,,,,,,,
55,2014-08-04,0.3060769230769231,13,0.2885375,8.0,0.25756,10.0,0.2943947368421053,19.0,46.88,48.1,46.65,47.7,47.7,45.22,47.5,45.2,46.65,46.65
56,2014-08-05,0.23074615384615385,13,0.3060769230769231,13.0,0.2885375,8.0,0.25756,10.0,47.49,48.6,47.14,47.7,47.7,46.88,48.1,46.65,47.7,47.7
57,2014-08-06,0.6496571428571428,7,0.23074615384615385,13.0,0.3060769230769231,13.0,0.2885375,8.0,47.78,50.28,47.72,49.79,49.79,47.49,48.6,47.14,47.7,47.7
58,2014-08-07,0.09877999999999999,5,0.6496571428571428,7.0,0.23074615384615385,13.0,0.3060769230769231,13.0,50.02,51.34,49.82,50.48,50.48,47.78,50.28,47.72,49.79,49.79
59,2014-08-08,0.25849999999999995,15,0.09877999999999999,5.0,0.6496571428571428,7.0,0.23074615384615385,13.0,50.23,50.35,49.3,49.63,49.63,50.02,51.34,49.82,50.48,50.48
60,2014-08-09,0.42595,2,0.25849999999999995,15.0,0.09877999999999999,5.0,0.6496571428571428,7.0,,,,,,,,,,
61,2014-08-10,0.5594,2,0.42595,2.0,0.25849999999999995,15.0,0.09877999999999999,5.0,,,,,,,,,,
62,2014-08-11,0.3372333333333333,6,0.5594,2.0,0.42595,2.0,0.25849999999999995,15.0,51.1,52.75,51.0,51.86,51.86,50.23,50.35,49.3,49.63,49.63
63,2014-08-12,0.51735,6,0.3372333333333333,6.0,0.5594,2.0,0.42595,2.0,51.62,52.06,50.92,51.99,51.99,51.1,52.75,51.0,51.86,51.86
