created_at,sentiment,volumne,sentiment_1dlag,volumne_1dlag,sentiment_2dlag,volumne_2dlag,sentiment_3dlag,volumne_3dlag,open,high,low,close,adjclose,open_prevDay,high_prevDay,low_prevDay,close_prevDay,adjclose_prevDay
2020-03-03,0.22564,10,0.21478181818181818,11.0,0.7088,1.0,0.10115,2.0,161.0,161.4,143.22,149.1,149.1,142.25,148.74,137.33,148.72,148.72
2020-03-04,0.43647142857142857,7,0.22564,10.0,0.21478181818181818,11.0,0.7088,1.0,152.79,153.3,144.95,149.9,149.9,161.0,161.4,143.22,149.1,149.1
2020-03-05,0.0,2,0.43647142857142857,7.0,0.22564,10.0,0.21478181818181818,11.0,144.75,149.15,143.61,144.91,144.91,152.79,153.3,144.95,149.9,149.9
2020-03-06,-0.765,1,0.0,2.0,0.43647142857142857,7.0,0.22564,10.0,138.0,141.4,136.85,140.7,140.7,144.75,149.15,143.61,144.91,144.91
2020-03-07,-0.04520000000000001,7,-0.765,1.0,0.0,2.0,0.43647142857142857,7.0,,,,,,,,,,
2020-03-08,0.10801250000000001,8,-0.04520000000000001,7.0,-0.765,1.0,0.0,2.0,,,,,,,,,,
2020-03-09,-0.11006666666666666,3,0.10801250000000001,8.0,-0.04520000000000001,7.0,-0.765,1.0,121.08,132.6,121.0,121.6,121.6,138.0,141.4,136.85,140.7,140.7
2020-03-10,0.20559999999999998,18,-0.11006666666666666,3.0,0.10801250000000001,8.0,-0.04520000000000001,7.0,131.89,133.6,121.6,129.07,129.07,121.08,132.6,121.0,121.6,121.6
2020-03-11,0.1153190476190476,21,0.20559999999999998,18.0,-0.11006666666666666,3.0,0.10801250000000001,8.0,128.04,130.72,122.6,126.85,126.85,131.89,133.6,121.6,129.07,129.07
2020-03-12,0.1027,1,0.1153190476190476,21.0,0.20559999999999998,18.0,-0.11006666666666666,3.0,116.18,118.9,109.25,112.11,112.11,128.04,130.72,122.6,126.85,126.85
