created_at,sentiment,volumne,sentiment_1dlag,volumne_1dlag,sentiment_2dlag,volumne_2dlag,sentiment_1dlag_2dlag,volumne_1dlag_2dlag,sentiment_3dlag,volumne_3dlag,sentiment_1dlag_3dlag,volumne_1dlag_3dlag,sentiment_2dlag_3dlag,volumne_2dlag_3dlag,sentiment_1dlag_2dlag_3dlag,volumne_1dlag_2dlag_3dlag,open,high,low,close,adjclose
2014-06-27,0.2506785714285715,14,0.32607058823529417,17.0,0.2907133333333333,15.0,0.3451608695652173,23.0,0.3451608695652173,23.0,0.47992727272727276,11.0,0.3256,5.0,0.49758,5.0,46.94,48.0,46.9,47.81,47.81
2014-06-28,0.6132,2,0.2506785714285715,14.0,0.32607058823529417,17.0,0.2907133333333333,15.0,0.2907133333333333,15.0,0.3451608695652173,23.0,0.47992727272727276,11.0,0.3256,5.0,,,,,
2014-06-29,0.42029375,16,0.6132,2.0,0.2506785714285715,14.0,0.32607058823529417,17.0,0.32607058823529417,17.0,0.2907133333333333,15.0,0.3451608695652173,23.0,0.47992727272727276,11.0,,,,,
2014-06-30,0.15147692307692306,13,0.42029375,16.0,0.6132,2.0,0.2506785714285715,14.0,0.2506785714285715,14.0,0.32607058823529417,17.0,0.2907133333333333,15.0,0.3451608695652173,23.0,47.91,48.9,47.8,48.01,48.01
2014-07-01,0.3679125,8,0.15147692307692306,13.0,0.42029375,16.0,0.6132,2.0,0.6132,2.0,0.2506785714285715,14.0,0.32607058823529417,17.0,0.2907133333333333,15.0,48.49,48.69,47.74,47.94,47.94
2014-07-02,0.361325,8,0.3679125,8.0,0.15147692307692306,13.0,0.42029375,16.0,0.42029375,16.0,0.6132,2.0,0.2506785714285715,14.0,0.32607058823529417,17.0,48.13,48.47,45.41,45.89,45.89
2014-07-03,0.3749857142857143,14,0.361325,8.0,0.3679125,8.0,0.15147692307692306,13.0,0.15147692307692306,13.0,0.42029375,16.0,0.6132,2.0,0.2506785714285715,14.0,46.26,46.38,44.8,45.85,45.85
2014-07-07,0.4777666666666667,3,0.3749857142857143,14.0,0.361325,8.0,0.3679125,8.0,0.3679125,8.0,0.15147692307692306,13.0,0.42029375,16.0,0.6132,2.0,45.5,45.96,44.08,44.53,44.53
2014-07-08,0.4434888888888888,9,0.4777666666666667,3.0,0.3749857142857143,14.0,0.361325,8.0,0.361325,8.0,0.3679125,8.0,0.15147692307692306,13.0,0.42029375,16.0,43.73,44.19,42.85,43.81,43.81
2014-07-09,0.16616000000000003,10,0.4434888888888888,9.0,0.4777666666666667,3.0,0.3749857142857143,14.0,0.3749857142857143,14.0,0.361325,8.0,0.3679125,8.0,0.15147692307692306,13.0,44.25,44.84,43.84,44.61,44.61
2014-07-10,0.45251600000000003,25,0.16616000000000003,10.0,0.4434888888888888,9.0,0.4777666666666667,3.0,0.4777666666666667,3.0,0.3749857142857143,14.0,0.361325,8.0,0.3679125,8.0,43.44,44.44,43.21,43.89,43.89
2014-07-11,0.2515545454545455,11,0.45251600000000003,25.0,0.16616000000000003,10.0,0.4434888888888888,9.0,0.4434888888888888,9.0,0.4777666666666667,3.0,0.3749857142857143,14.0,0.361325,8.0,44.12,44.32,43.52,43.63,43.63
2014-07-12,-0.2057,1,0.2515545454545455,11.0,0.45251600000000003,25.0,0.16616000000000003,10.0,0.16616000000000003,10.0,0.4434888888888888,9.0,0.4777666666666667,3.0,0.3749857142857143,14.0,,,,,
2014-07-13,0.5615333333333333,6,-0.2057,1.0,0.2515545454545455,11.0,0.45251600000000003,25.0,0.45251600000000003,25.0,0.16616000000000003,10.0,0.4434888888888888,9.0,0.4777666666666667,3.0,,,,,
2014-07-14,0.3348375,8,0.5615333333333333,6.0,-0.2057,1.0,0.2515545454545455,11.0,0.2515545454545455,11.0,0.45251600000000003,25.0,0.16616000000000003,10.0,0.4434888888888888,9.0,44.0,45.76,43.09,45.34,45.34
2014-07-15,0.3948777777777777,9,0.3348375,8.0,0.5615333333333333,6.0,-0.2057,1.0,-0.2057,1.0,0.2515545454545455,11.0,0.45251600000000003,25.0,0.16616000000000003,10.0,45.35,45.53,43.62,43.92,43.92
2014-07-16,0.27471111111111113,9,0.3948777777777777,9.0,0.3348375,8.0,0.5615333333333333,6.0,0.5615333333333333,6.0,-0.2057,1.0,0.2515545454545455,11.0,0.45251600000000003,25.0,44.36,44.96,43.36,43.43,43.43
2014-07-17,0.24634545454545453,11,0.27471111111111113,9.0,0.3948777777777777,9.0,0.3348375,8.0,0.3348375,8.0,0.5615333333333333,6.0,-0.2057,1.0,0.2515545454545455,11.0,43.23,44.11,42.72,43.08,43.08
2014-07-18,0.394735,20,0.24634545454545453,11.0,0.27471111111111113,9.0,0.3948777777777777,9.0,0.3948777777777777,9.0,0.3348375,8.0,0.5615333333333333,6.0,-0.2057,1.0,43.19,44.24,43.19,44.0,44.0
2014-07-19,0.3899,5,0.394735,20.0,0.24634545454545453,11.0,0.27471111111111113,9.0,0.27471111111111113,9.0,0.3948777777777777,9.0,0.3348375,8.0,0.5615333333333333,6.0,,,,,
2014-07-20,0.4453666666666667,9,0.3899,5.0,0.394735,20.0,0.24634545454545453,11.0,0.24634545454545453,11.0,0.27471111111111113,9.0,0.3948777777777777,9.0,0.3348375,8.0,,,,,
2014-07-21,0.5014533333333334,15,0.4453666666666667,9.0,0.3899,5.0,0.394735,20.0,0.394735,20.0,0.24634545454545453,11.0,0.27471111111111113,9.0,0.3948777777777777,9.0,43.45,44.64,43.34,44.11,44.11
2014-07-22,0.20244375,16,0.5014533333333334,15.0,0.4453666666666667,9.0,0.3899,5.0,0.3899,5.0,0.394735,20.0,0.24634545454545453,11.0,0.27471111111111113,9.0,44.44,44.66,43.82,43.92,43.92
2014-07-23,0.39644285714285715,21,0.20244375,16.0,0.5014533333333334,15.0,0.4453666666666667,9.0,0.4453666666666667,9.0,0.3899,5.0,0.394735,20.0,0.24634545454545453,11.0,44.0,44.95,43.89,44.5,44.5
2014-07-24,-0.021100000000000008,6,0.39644285714285715,21.0,0.20244375,16.0,0.5014533333333334,15.0,0.5014533333333334,15.0,0.4453666666666667,9.0,0.3899,5.0,0.394735,20.0,44.65,45.02,44.16,44.71,44.71
2014-07-25,0.3096176470588235,17,-0.021100000000000008,6.0,0.39644285714285715,21.0,0.20244375,16.0,0.20244375,16.0,0.5014533333333334,15.0,0.4453666666666667,9.0,0.3899,5.0,44.54,45.39,44.35,44.71,44.71
2014-07-26,0.3840800000000001,10,0.3096176470588235,17.0,-0.021100000000000008,6.0,0.39644285714285715,21.0,0.39644285714285715,21.0,0.20244375,16.0,0.5014533333333334,15.0,0.4453666666666667,9.0,,,,,
2014-07-27,0.7170799999999999,5,0.3840800000000001,10.0,0.3096176470588235,17.0,-0.021100000000000008,6.0,-0.021100000000000008,6.0,0.39644285714285715,21.0,0.20244375,16.0,0.5014533333333334,15.0,,,,,
2014-07-28,0.4794444444444444,9,0.7170799999999999,5.0,0.3840800000000001,10.0,0.3096176470588235,17.0,0.3096176470588235,17.0,-0.021100000000000008,6.0,0.39644285714285715,21.0,0.20244375,16.0,44.85,46.4,44.28,44.96,44.96
2014-07-29,0.40326666666666666,12,0.4794444444444444,9.0,0.7170799999999999,5.0,0.3840800000000001,10.0,0.3840800000000001,10.0,0.3096176470588235,17.0,-0.021100000000000008,6.0,0.39644285714285715,21.0,45.32,45.66,44.97,45.0,45.0
2014-07-30,0.3438,20,0.40326666666666666,12.0,0.4794444444444444,9.0,0.7170799999999999,5.0,0.7170799999999999,5.0,0.3840800000000001,10.0,0.3096176470588235,17.0,-0.021100000000000008,6.0,44.38,45.92,44.21,45.78,45.78
2014-07-31,0.48231666666666667,6,0.3438,20.0,0.40326666666666666,12.0,0.4794444444444444,9.0,0.4794444444444444,9.0,0.7170799999999999,5.0,0.3840800000000001,10.0,0.3096176470588235,17.0,45.85,46.28,44.3,44.66,44.66
2014-08-01,0.2943947368421053,19,0.48231666666666667,6.0,0.3438,20.0,0.40326666666666666,12.0,0.40326666666666666,12.0,0.4794444444444444,9.0,0.7170799999999999,5.0,0.3840800000000001,10.0,45.22,47.5,45.2,46.65,46.65
2014-08-02,0.25755999999999996,10,0.2943947368421053,19.0,0.48231666666666667,6.0,0.3438,20.0,0.3438,20.0,0.40326666666666666,12.0,0.4794444444444444,9.0,0.7170799999999999,5.0,,,,,
2014-08-03,0.2885375,8,0.25755999999999996,10.0,0.2943947368421053,19.0,0.48231666666666667,6.0,0.48231666666666667,6.0,0.3438,20.0,0.40326666666666666,12.0,0.4794444444444444,9.0,,,,,
2014-08-04,0.3060769230769231,13,0.2885375,8.0,0.25755999999999996,10.0,0.2943947368421053,19.0,0.2943947368421053,19.0,0.48231666666666667,6.0,0.3438,20.0,0.40326666666666666,12.0,46.88,48.1,46.65,47.7,47.7
2014-08-05,0.23074615384615382,13,0.3060769230769231,13.0,0.2885375,8.0,0.25755999999999996,10.0,0.25755999999999996,10.0,0.2943947368421053,19.0,0.48231666666666667,6.0,0.3438,20.0,47.49,48.6,47.14,47.7,47.7
2014-08-06,0.6496571428571428,7,0.23074615384615382,13.0,0.3060769230769231,13.0,0.2885375,8.0,0.2885375,8.0,0.25755999999999996,10.0,0.2943947368421053,19.0,0.48231666666666667,6.0,47.78,50.28,47.72,49.79,49.79
2014-08-07,0.09878,5,0.6496571428571428,7.0,0.23074615384615382,13.0,0.3060769230769231,13.0,0.3060769230769231,13.0,0.2885375,8.0,0.25755999999999996,10.0,0.2943947368421053,19.0,50.02,51.34,49.82,50.48,50.48
2014-08-08,0.25849999999999995,15,0.09878,5.0,0.6496571428571428,7.0,0.23074615384615382,13.0,0.23074615384615382,13.0,0.3060769230769231,13.0,0.2885375,8.0,0.25755999999999996,10.0,50.23,50.35,49.3,49.63,49.63
2014-08-09,0.42595,2,0.25849999999999995,15.0,0.09878,5.0,0.6496571428571428,7.0,0.6496571428571428,7.0,0.23074615384615382,13.0,0.3060769230769231,13.0,0.2885375,8.0,,,,,
2014-08-10,0.5594,2,0.42595,2.0,0.25849999999999995,15.0,0.09878,5.0,0.09878,5.0,0.6496571428571428,7.0,0.23074615384615382,13.0,0.3060769230769231,13.0,,,,,
2014-08-11,0.33723333333333333,6,0.5594,2.0,0.42595,2.0,0.25849999999999995,15.0,0.25849999999999995,15.0,0.09878,5.0,0.6496571428571428,7.0,0.23074615384615382,13.0,51.1,52.75,51.0,51.86,51.86
2014-08-12,0.51735,6,0.33723333333333333,6.0,0.5594,2.0,0.42595,2.0,0.42595,2.0,0.25849999999999995,15.0,0.09878,5.0,0.6496571428571428,7.0,51.62,52.06,50.92,51.99,51.99
2014-08-13,0.38156249999999997,8,0.51735,6.0,0.33723333333333333,6.0,0.5594,2.0,0.5594,2.0,0.42595,2.0,0.25849999999999995,15.0,0.09878,5.0,52.4,53.13,51.92,52.06,52.06
2014-08-14,0.603275,4,0.38156249999999997,8.0,0.51735,6.0,0.33723333333333333,6.0,0.33723333333333333,6.0,0.5594,2.0,0.42595,2.0,0.25849999999999995,15.0,52.5,52.6,51.3,52.28,52.28
2014-08-15,0.04468000000000001,10,0.603275,4.0,0.38156249999999997,8.0,0.51735,6.0,0.51735,6.0,0.33723333333333333,6.0,0.5594,2.0,0.42595,2.0,52.3,52.42,51.7,52.4,52.4
2014-08-16,0.0,1,0.04468000000000001,10.0,0.603275,4.0,0.38156249999999997,8.0,0.38156249999999997,8.0,0.51735,6.0,0.33723333333333333,6.0,0.5594,2.0,,,,,
